"id","content_pagesID","content_text","sidebar_content"
"1","14","<p>Yamba, the sleepy fishing village on the north coast of NSW (population approx. 5600), was named the Best Town in Australia, beating Byron Bay which is the only other NSW town to make it into the Top Ten of the 100 Best Towns in Australia. </p><p>Yamba has the charm of an old Australian town, where the locals are friendly and there are still plenty of things to do.<br /></p><p>The Yamba Business Network is a network of sites designed to promote online business for the area.&nbsp; </p><p>You can Register for Free! Just follow the registration link above and fill in your companies details. When you have registered, logged in and edited your description your free website will appear and show up in our directory. We will be adding the ability to add specials and promotions that will show up on your sub-domain. This is a mutually beificial arrangement, even if you already have a website. The link back to you will help your position in the search engines and as your free sub-domain will rank as well it will promote your business through the content you add in our easy to use editor. This means you don't have to pay for expensive custom work to be done in your internet marketing strategy. Yamba is east of <a href=""http://www.maclean-nsw.com"">Maclean</a>  and about 45 min north of <a href=""http://www.grafton-nsw.com"">Grafton</a>  by car.<br /></p>","No"
"81","105","Creating professional dynamic websites is one of our specialties. With in depth knowledge in search engine marketing and promotion all our sites are designed to be appealing to both human viewers and search engine spiders. We can create SEO optimized static sites or using our own&nbsp;<a href=""/multiple-website-lite-cms/""></a>cms we can give you the client the ability to add / remove and modify the content on your own sites. If you prefer we have experience with open source solutions such as oscommerce and joomla.<br />","No"
"82","106","Promoting your product online is as or more important than what your site actually achieves. It can be the most informative /useful / helpful site / product in the world but if it gains no exposure, well no-one will know and use it. Integrating software / website design with the latest marketing techniques into an overall strategy is something we have a talent for. Lateral thinking is essential when competing in the global market, keeping in touch with the latest technologies and trends, such as social media, pay for performance advertising, affiliate campaigns, are just some of the techniques utilized by Creative Web Logic to achieve success locally and globally.<br />","No"
"67","85","<p>We been in the web development business for the last 11 years and the culmination of this experience is the&nbsp; Bubble CMS Lite  web application which can allow your clients to manage their websites from a simple to use centralised solution. You only need a single file base and is compatible with most good web hosting solutions, all you have to be able to do is mirror the initial installation domain. Wild Card sub-domains are supported, giving you an inexpensive yet powerful marketing tool for you and your SEO campaign, or by giving your customer database a fully configurable web presence. </p><p>Check out our <a href=""/features/"">features page</a> for a full list of the applications abilities.  <br /></p>","No"
"78","98","<p>Based in Yamba NSW, Creative Web Logic Develops A Range Of Web And Client Based Software Solutions, in a range of languages from PHP to Microsoft .NET for clients all around Australia and The World.<br /></p><p>We have been in the web and software business for 16 years developing solutions for a range of situations from games to websites and more.</p><p>&nbsp;</p>","No"
"79","99","<h2><br />Standard Functionality</h2><p>Centralised secure mangement that can be accessed on any satellite site<br />Multiple Client Groups<br />Multiple Administrators<br />Multiple domains / websites<br />Multiple languages<br />Simple to add / modify / delete web pages<br />Web page creation and modification includes full SEO functionality<br />Integrate With Google Webmaster Tools &amp; Analytics<br /></p>","No"
"80","100","<h3>Dual Diagnosis Counselling and Training </h3>   <p>This outreach business manage two websites optimized for each area of their business. The Counselling Site focuses on the recovery of drug and alcohol related illness and childhood trauma. This site and software was donated to help the community. The site can be found at <a href=""http://dualdiagnosiscounselling.com.au/"">Dual Diagnosis Counselling</a>. The training aspect of the business is directed at minimum standards required to fullfill certain government tenders in the counselling area. This site can be located at <a href=""http://dualdiagnosistraining.com.au/"">Dual Diagnosis Training</a>.  </p>   <h3>Yamba Business Network</h3>   <p>This network is a locality based website optimized for businesses in Yamba, New South Wales. It uses the special business directory features module of Bubble CMS Lite. It enables local businesses to sign up, be located in the main directory which is interlinked to sub websites containing details specific to each company. This is a great way to give local companies a presence on the web without the large costs involved in creating and maintaining their own sites. This feature of Bubble CMS Lite creates a mini network of locality based companies web presences to pull up everyone involved in the search engines list results. Check out the <a href=""http://www.yambansw.net"" title=""Yamba Business Network"">Yamba Business Network</a> </p>   <h3>Multiple Website CMS </h3>   <p>This website showcases the ability to deploy SEO sites quickly and efficiently to promote <a href=""http://www.managewebsites.com.au"">ManageWebsites.com.au</a> and our solution Bubble CMS Lite. The site can be found at <a href=""http://www.multiplewebsitecms.com"">multiplewebsitecms.com</a>  <br />   </p>  <h3>  Australian Business Search</h3>  <p>Australian Business Search is part of Manage Websites strategy for locallity based search and a SEM (Search Engine Marketing) approach to creating a Network of interlinking sites. Yambansw.net will be integrated into the program in the future as well as Australiangoldcoast.com and AustralianQueensland.com. The domain can be found at <a href=""http://www.ozbizsearch.com"">ozbizsearch.com</a> </p>   <h3>Capricorn Pastoral </h3> <p>Australia&rsquo;s largest exporter of live animals by air freight needed an advanced website solution. There was the necessity to have multiple languages to appeal to an international market place, the main importers of live animals. We worked with them to select their keywords and then purchased new domain names that best related these keywords to client searches. We purchased 12 new url's and developed new search engine optimized content for the websites. It took us approximately 12 weeks to complete the whole process.  </p> <p>Check out this solution go to; <a target=""_blank"" href=""http://www.australianlivestocktraders.com/"">australianlivestocktraders,</a> <a target=""_blank"" href=""http://www.feralgoats.com/"">feralgoats</a>, <a target=""_blank"" href=""http://www.profitablegoats.com/"">profitablegoats</a>, <a target=""_blank"" href=""http://www.goatjointventures.com/"">goatjointventures</a>, <a target=""_blank"" href=""http://www.boergoatsuppliers.com/"">boergoatsuppliers</a>, <a target=""_blank"" href=""http://www.buyandsellsheep.com/"">buyandsellsheep,</a> <a target=""_blank"" href=""http://www.goatexporters.com/"">goatexporters</a>, <a target=""_blank"" href=""http://goatmeatsuppliers.com/"">goatmeatsuppliers,</a> <a target=""_blank"" href=""http://www.goatweedcontrol.com/"">goatweedcontrol</a>, <a target=""_blank"" href=""http://www.buyandsellgoats.com/"">buyandsellgoats</a>, <a target=""_blank"" href=""http://www.kambingtraders.com/"">kambingtraders</a>, <a target=""_blank"" href=""http://www.meatlivestocksuppliers.com/"">meatlivestocksuppliers</a>, <a target=""_blank"" href=""http://ranglelandgoats.com/"">rangelandgoats</a></p>   <p>&nbsp;</p>  ","No"
"68","86","During the mid 1990&rsquo;s, competitive tendering required government funded organisations to comply with minimum standards. Government and peak body organisations have now developed a best practice framework for the alcohol &amp; other drug industry to ensure that organisations have established policies and procedures that satisfy their structural, legal and ethical requirements. <br />The Certificate IV in Community Services (Alcohol &amp; Other Drugs - AOD) is the minimum standard for AOD workers.<br />This workplace assessment is designed to acknowledge people&rsquo;s life experiences and work skills so they can be assessed within the context of their vocation, (whether it is paid or unpaid work). This Recognition of Prior Learning (RPL) and Recognition of Current Competencies (RCC) provide students with the following qualification through TAFE SA:<br /><br /><ul><li>Certificate IV in Community Services (AOD&ndash; People need to have at least 1 year experience in the welfare industry with a job description from the organisation they are working or volunteering for, that requires them to conduct assessments on people needing help.</li><li>Diploma in Community Services (AOD) &ndash; People need to have at least 3 years experience in the welfare industry with a job description from the organisation they are working or volunteering for, that requires them to conduct assessments and / or counselling on people needing help.</li></ul><br /><br /><br /><br />I have been providing this RPL to many people working in the welfare / AOD field in Victoria and Queensland who are needing to upskill to meet accreditation requirements at a personal and / or organisational level.<br />This is not designed to replace full time education in these courses, but to give people the opportunity to demonstrate that they possess the relevant knowledge and experience through a workplace assessment. If you need to undertake the full course study, this maybe available in the future.","No"
"69","87","<div align=""center"">Workshops<br />Seminars and<br />Community forums<br /></div><br />George is available to speak to students at secondary schools, TAFE and universities.<br /><br />Consultancy for schools to develop curriculum-based school drug education.<br /><br />Workplace education and prevention for employees and management.<br /><br />Health Promotion to both Government and non Government organisations covering:<br /><br />Communicable diseases<br /><br /><br /><br /><ul><li>(Hep B, Hep C and HIV)</li><li>Alcohol &amp; Other Drugs</li><li>Dual Diagnosis</li><li>Prevention</li><li>Refer to training brochure for more information.</li></ul>","No"
"70","88","xxx","No"
